SOC_gkg,latitude,longitude,elevation,slope,landcover,rainfall,lst,ndvi,twi,smi,soil_ph,soil_texture
9.390695253,-10.95883102,-48.44254968,234,0.4701946,10,18094.68893,33.8479745,0.4281553,15.61222535,0.873662593,5.3,6
9.442138631,-10.28943652,-49.87660176,181,0.087545685,10,18695.5307,30.01637408,0.52680486,20.58736632,0.845241114,5.3,6
9.457156711,-10.23487878,-49.98616299,186,0.08669516,10,18604.76343,30.29665172,0.409637,14.83903547,0.847320116,5,6
9.480493823,-9.986683838,-48.07364897,400,1.0043209,10,18542.08938,31.34598386,0.56628966,16.73615545,0.855103697,5.2,6
9.489951783,-11.90963422,-49.15024713,285,0.7384592,10,17649.03811,33.73859786,0.38537914,15.44517127,0.872851275,5.2,6
9.553945581,-12.29375207,-48.91690831,264,0.6491543,10,16927.48143,33.01312311,0.5330902,20.75658433,0.867469956,5.4,6
9.569629034,-9.467562995,-47.08293187,263,1.1880752,10,17539.39091,30.55983926,0.41274723,19.500901,0.849272349,5.6,6
9.619249749,-11.46175681,-50.23844251,193,0.31635883,10,17161.96302,32.76104414,0.43956482,20.94939354,0.865600122,5.4,6
9.672289075,-13.03817478,-48.54318029,459,3.5469897,10,15968.95176,34.2239567,0.4659759,15.24450057,0.876451498,5.5,6
9.72774265,-12.43811081,-47.22013021,331,0.85105795,10,14889.82826,36.05920557,0.41498604,17.17441038,0.890064736,5.6,6
9.778958012,-12.98890889,-47.56811989,345,0.71318656,10,15193.4714,33.08917406,0.4594278,19.45745088,0.868034075,5.4,6
9.786719963,-10.27463238,-49.90094876,178,0.07854934,10,18695.5307,33.64460231,0.40527198,20.58736632,0.872154049,5.2,6
9.822414537,-11.77968254,-47.91574078,290,0.45347065,10,17011.81909,33.66112274,0.38086542,15.93764775,0.872276592,5.4,6
9.846591159,-11.1625958,-47.45873309,463,1.099716,10,17669.17463,32.96270732,0.53263944,15.34986109,0.867095989,5.5,6
9.90988144,-12.13359651,-49.58011881,276,1.1870861,10,16852.83742,35.7278855,0.418033,14.99318615,0.887607119,5.1,6
9.971277519,-12.10525179,-48.78514975,293,0.88601905,10,17330.14108,33.76594202,0.43613783,14.43357036,0.873054105,5.2,6
10.01257821,-12.97186928,-49.90881706,363,0.8456577,10,18405.0758,34.09236293,0.4915944,14.99318615,0.875475382,5.2,6
10.04713482,-10.24650554,-48.06600902,545,5.601605,10,18189.9311,30.20436518,0.4598071,15.61222535,0.846635566,5.4,6
10.08714747,-12.65915083,-50.07501738,262,0.8588078,10,17843.49517,34.71102455,0.49288955,16.18277021,0.880064398,5.4,6
10.12563362,-10.78091615,-47.85416878,497,6.8029785,10,17695.69291,27.46482215,0.4859748,17.68200499,0.826314589,5.4,6
10.16509051,-10.46448265,-48.02726383,482,2.794749,10,18229.72018,29.8488911,0.5211632,15.44517127,0.843998783,5.2,6
10.19436851,-10.37516137,-47.98924214,407,1.2775584,10,18042.04503,31.20242702,0.50862193,17.23693074,0.854038842,5.2,6
10.23117325,-10.73041768,-48.11024059,280,1.7823968,10,17975.01323,33.04132178,0.39483464,16.44847338,0.867679124,5.5,6
10.25697876,-10.35200753,-47.75472517,385,2.41039,10,17957.29847,27.51096542,0.37971127,14.99318615,0.826656863,5.2,6
10.28017391,-12.94242608,-49.75172424,257,0.6442253,10,17508.15869,34.44954602,0.47251454,18.1410262,0.878124842,5.3,6
